Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
A Hybrid Samples Generation Approach in Speculative Multithreading,Y. Li; Y. Zhao; J. Shi,"Xi'an Jiaotong Univ., Xi'an, China; Xi'an Jiaotong Univ., Xi'an, China; Xi'an Jiaotong Univ., Xi'an, China",2016 IEEE 18th International Conference on High Performance Computing and Communications; IEEE 14th International Conference on Smart City; IEEE 2nd International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2016,,,35,41,"Speculative Multithreading (SpMT) is a thread level automatic parallelization technique to accelerate sequential programs. Machine learning has been successfully introduced into SpMT to improve its performance. An appropriate sample set is important for machine learning-based (ML-based) thread partition. Conventionally, heuristic rules-based (HR-based) sample generation approach can not generate adaptive samples, which conform to ML-based thread partition platform and characteristics of source applications. A hybrid sample generation approach is proposed. With this method, we firstly automatically generate samples which are mips codes consisting spawning points (SP) and control quasi-independent points (CQIP) by heuristic rules, then manually adjust the positions of SP and CQIP and rebuild pre-computation slice (p-slice) to obtain better performance for every application. During the implementation of this approach, three measures: bias weighting, reservation of optimal solutions, summary of greedy rules are carried out. In this way, we enhance the adjustment frequency for the subroutine with high called number, achieving a stable improvement of speedups. On Prophet, which is a generic SpMT processor to evaluate the performance of multithreaded programs, Olden benchmarks are used to realize the approach. Experiments show that the approach can obtain better sample sets, which deliver a better performance improvement of about 10% on a 32 core than conventional heuristic-based approach. Experiments also prove that this approach is effective to get sample sets for ML-based thread partition methods.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828357,Speculative Multithreading;sample generation;manual adjustment,Instruction sets;Manuals;Algorithms;Multithreading;Hybrid power systems;Conferences;Benchmark testing,learning (artificial intelligence);multi-threading;parallel processing;parallelising compilers,hybrid sample generation;speculative multithreading;thread level automatic parallelization technique;sequential program acceleration;machine learning-based thread partition;ML-based thread partition;heuristic rules-based sample generation;HR-based sample generation;mips codes;spawning points;control quasi-independent points;CQIP;pre-computation slice;p-slice;bias weighting;optimal solution reservation;greedy rules;Prophet;generic SpMT processor;Olden benchmarks;automatic program parallelization;parallelizing compiler technology,,3,22,,,,,IEEE,IEEE Conferences,,,,,,
An Optimal PMU Placement Scheme for Early Prediction of Transient Instabilities in Power Systems,M. Kesici; C. B. Saner; M. Mahdi; Y. Yaslan; V. M. I. Genc,"Department of Electrical Engineering, Istanbul Technical University, Istanbul, Turkey; Department of Electrical Engineering, Istanbul Technical University, Istanbul, Turkey; ISBAK Istanbul IT and Smart, City Technologies Inc., Istanbul, Turkey; Department of Computer Engineering, Istanbul Technical University, Istanbul, Turkey; Department of Electrical Engineering, Istanbul Technical University, Istanbul, Turkey",2019 7th International Istanbul Smart Grids and Cities Congress and Fair (ICSG),,2019,,,184,188,"Recently, technological developments in PMUs have led to a widespread deployment of PMUs in electrical power systems to carry out many online applications, thanks to their high reporting rates and synchronized measurements. Since it may not be feasible to deploy a PMU on every bus in the system, a selected number of buses can be chosen for the deployment of PMUs to achieve a certain task. In this paper, a new PMU placement method based on feature selection algorithms for obtaining a high accuracy in early predicting of transient instabilities is proposed. The optimal PMU locations are selected according to two different feature selection methods, which are filtering based and feature importance based algorithms. The feature selection methods are implemented with the use of a classifier based on LightGBM. The proposed method is demonstrated on the 127-bus Western Systems Coordinating Council test system.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8782314,Early prediction;feature selection;machine learning;PMU placement;transient stability,,feature selection;phasor measurement;power system stability,early prediction;feature selection methods;transient instabilities early prediction;LightGBM;optimal PMU placement scheme;127-bus Western Systems Coordinating Council test system;feature importance based algorithms;optimal PMU locations;feature selection algorithms;PMU placement method;synchronized measurements;high reporting rates;online applications;electrical power systems;technological developments,,1,22,,,,,IEEE,IEEE Conferences,,,,,,
"An Empirical Study on Big Video Data Processing: Architectural Styles, Issues, and Challenges",W. Zhang; Z. Wang; L. Xu; D. Zhao; F. Gong; Q. Lu,"Sch. of Comput. & Commun. Eng., China Univ. of Pet., Qingdao, China; Sch. of Comput. & Commun. Eng., China Univ. of Pet., Qingdao, China; Sch. of Comput. & Commun. Eng., China Univ. of Pet., Qingdao, China; Sch. of Comput. & Commun. Eng., China Univ. of Pet., Qingdao, China; Sch. of Comput. & Commun. Eng., China Univ. of Pet., Qingdao, China; Sch. of Comput. & Commun. Eng., China Univ. of Pet., Qingdao, China","2016 International Conference on Identification, Information and Knowledge in the Internet of Things (IIKI)",,2016,,,110,115,"Video data contributes to the majority of big data, henceforth, how to efficiently and effectively discovering knowledge from large-scale video data becomes a crucial challenge. In this paper, we propose multiple architectural styles for the domain of large-scale video data analytics services. These styles include online combined with offline processing style, distributed shared repositories, image mining and prediction services with deep learning techniques. These architectural styles are successfully implemented and examined in a number of domains including smart traffic and smart drones, as demonstrated in a middleware developed specifically for large-scale continuous video data processing.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8281184,Cloud Computing;big video data processing;architecture styles;Smart City,Streaming media;Measurement;Data mining;Data processing;Computer architecture;Machine learning;Neural networks,Big Data;video signal processing,big data;large-scale continuous video data processing;image mining;distributed shared repositories;offline processing style;large-scale video data analytics services;multiple architectural styles,,,10,,,,,IEEE,IEEE Conferences,,,,,,
A Regression Prediction Model Based on Incremental Iteration for Big Industrial Data,Y. Yu; D. Yi; Z. Tang; D. Ou; A. Zeng; J. Li,Hunan University; Hunan University; Hunan University; Hunan University; Hunan University; Hunan University,2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2019,,,1886,1893,"The existence of a large number of data sets produced in the industry increases the need for algorithms that efficiently use resources such as storage space and computational efficiency. One of the challenges that machine learning currently faces is how to handle incremental data, especially in the case where the previous round of data has the same part of data with the current round of data. The shortcomings of existing big industrial data regression prediction models are: (1) there is a large amount of redundancy between batch data; (2) for some iterations, not every element in the working set generated by a single iteration needs to re-participate in the next iteration; In this paper, we introduce a machine learning regression algorithm based on incremental iteration. The overall goal is to reduce memory usage and optimise the computational efficiency of curve fitting in order to achieve high performance when the algorithm occurs on a large data set. The experimental results show that: (1) provides a faster regression prediction algorithm, which significantly improves the calculation efficiency and its cost; (2) provides a method of storage, which saves storage space; The proposed concepts and algorithms combine typical industrial application scenarios with advanced artificial intelligence and have the potential to accelerate the implementation of Industry 4.0.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855568,"Big industrial data, Computational efficiency, Incremental iteration, Industry 4.0, Regression prediction,",Handheld computers;Conferences;High performance computing;Smart cities;Data science,Big Data;curve fitting;iterative methods;learning (artificial intelligence);production engineering computing;regression analysis,incremental iteration;computational efficiency;machine learning;data storage space;regression prediction algorithm;big industrial data;curve fitting;artificial intelligence;Industry 4.0,,,27,,,,,IEEE,IEEE Conferences,,,,,,
A meta-heuristic approach for developing PROAFTN with decision tree,F. Al-Obeidat; B. Shah; A. M. Khattak; A. Abbas,"College of Technological Innovation, Zayed University, Abu Dhabi, UAE; College of Technological Innovation, Zayed University, Abu Dhabi, UAE; College of Technological Innovation, Zayed University, Abu Dhabi, UAE; Department of Computing, Middle East College, Muscat, Oman",2016 3rd MEC International Conference on Big Data and Smart City (ICBDSC),,2016,,,1,7,"Machine learning algorithms known for their performance in using historical data and examples to predict and classify unknown instances. Decision tree is an efficient machine learning approach that can use data only without the involvement of decision maker to improve the decision making process. Multi-Criteria Decision Analysis (MCDA)is another paradigm used for data classification. In this paper, we propose a new fuzzy classification method based on MCDA called PROAFTN. To use PROAFTN, a set of parameters need to be established from data. The proposed approach uses data pre-processing and canonical genetic algorithm (GA) for obtaining these parameters from data. The generated models have been applied on popular data selected from several application domain, health, economy, etc. According to our experimental study, the new model performs significantly better than decision trees according in terms of accuracy and the interpretation of the decision rules.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460369,PROAFTN;Decision Tree;MCDA,Prototypes;Decision trees;Data models;Training;Entropy;Big data;Smart cities,decision trees;fuzzy set theory;genetic algorithms;learning (artificial intelligence);pattern classification,meta-heuristic approach;PROAFTN;decision tree;machine learning algorithms;decision making process;multicriteria decision analysis;MCDA;data classification;fuzzy classification method;canonical genetic algorithm;GA;decision rules,,,22,,,,,IEEE,IEEE Conferences,,,,,,
A Comprehensive Survey on Theoretic Perspective Providing Future Directions on IoT,A. A. Patil; V. S. Badgujar,"Department of Information Technology, A.P. Shah Institute of Technology, Thane, India; Department of Information Technology, A.P. Shah Institute of Technology, Thane, India",2018 International Conference on Smart City and Emerging Technology (ICSCET),,2018,,,1,7,"Aim of this paper is to venture into the vast expanding horizon of IOT (Internet of Things). IOT has allowed the transition into smart cities, industries and homes easier leading to a better style of living for the people. It has a robust area of applications and it has no standard designed framework to be followed, every application demands its own target specific framework and design. IOT plays a huge role in the new developing smart cities and smart home systems. This enables us to gather data from various sources and allow us to analyze the data and use it to our advantage. IOT has many limitations to it as it is a new field whose bounds are still to be explored. The commercial sector is highly shifting towards IOT as it enables them to provide more ease and comfort to the customers at lower costs. IOT has a shortage of standards and security solutions for its implementations. Being fueled by the inclusions and the adaptation of other technologies like WSN, DALI, VLC, AI, IOT has become an immensely powerful tool and detailed study of these technologies has been done in this paper allowing other researchers to broaden their understanding of the topic.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8537285,lnternet of Things;Smart Building;Smart Lighting;Artificial Intelligence;Pattern Learning;Machine Learning,Engines;Security;Sensors;Task analysis;Internet of Things;Standards;Artificial intelligence,home automation;Internet of Things,Internet of Things;smart cities;smart home systems;IoT,,,12,,,,,IEEE,IEEE Conferences,,,,,,
Novel Speedup Techniques for Parallel Singular Value Decomposition,P. Xiao; Z. Wang; S. Rajasekaran,"Comput. Sci. & Eng., Univ. of Connecticut, Storrs, CT, USA; Comput. Sci. & Eng., Univ. of Connecticut, Storrs, CT, USA; Comput. Sci. & Eng., Univ. of Connecticut, Storrs, CT, USA",2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2018,,,188,195,"Singular Value Decomposition (SVD) is a fundamental problem in linear algebra and it has applications in many fields. For example, as a data reduction technique, SVD is widely used for Principal Component Analysis (PCA). It also has extensive applications in the machine learning domain. For example, it is widely used in feature selection, data clustering, classification, and regression. Traditional sequential SVD algorithms take cubic time which may not be affordable especially when the input matrix is large. Therefore, there is a pressing need to develop efficient sequential and parallel SVD algorithms. Jacobi iteration, as one of the most common SVD algorithms, has attracted a lot of attention. Among many algorithms that have been proposed, there are some relaxation schemes that have been proven to be very effective in parallel Jacobi-SVD computing. Such relaxation schemes are platform and architecture independent. In this paper, we propose some novel techniques to further generalize and speedup these relaxation schemes. Theoretical analysis proves the efficiency of our algorithms. Experimental results also show that our algorithms outperform the existing ones.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622794,Singular Value Decomposition;Parallel Algorithms;Relaxation Schemes,Jacobian matrices;Signal processing algorithms;Program processors;Principal component analysis;Parallel processing;Symmetric matrices;Clustering algorithms,iterative methods;Jacobian matrices;linear algebra;parallel algorithms;singular value decomposition,sequential SVD algorithms;parallel singular value decomposition;matrix factorization;linear algebra;parallel Jacobi-SVD computing;relaxation schemes;Jacobi iteration;machine learning domain,,1,27,,,,,IEEE,IEEE Conferences,,,,,,
Smart cities: Progress and Problems in India,P. Gupta; R. Gupta,"Vivekananda Institute of Professional Studies, GGSIPU, New Delhi; Vivekananda Institute of Professional Studies, GGSIPU, New Delhi","2018 International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)",,2018,,,1114,1118,"The urge of urbanization is increasing at a rapid rate worldwide. It ensues the emergence and use of various digital technologies like Internet of Things, Cloud Computing, Big data Analytics, Intelligent computing etc. The one important and most hyped application of such technologies is Smart Cities. This concept revitalizes the whole city by strengthening its core competencies. It automates every sector like transportation, homes, traffic, agriculture, water and electricity supply, waste management, health, education etc. This notion is implementing in various parts of the world leading to the new level of urbanization. The perception of this powerful approach in India is presented in this paper. The current stage of this project and the possible roadblocks in implementing it in Indian scenario is also discussed in this manuscript.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8748602,Smart city;Urbanization;Technologies,Smart cities;Education;Reliability;Solids;Smart grids;Waste management,smart cities;town and country planning,India;digital technologies;smart cities;urbanization,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Analysis of MOOC Learning Rhythms,J. He; C. Men; S. Fang; Z. Du; J. Liu; M. Li,"Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Grad. Sch. at Shenzhen, Tsinghua Univ., Shenzhen, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; Sch. of Comput. & Inf. Sci., Florida Int. Univ., Miami, FL, USA; Inst. of Educ., Tsinghua Univ., Beijing, China",2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2018,,,1555,1562,"With the increasing popularity of Massive Open Online Course (MOOC), a large amount of data has been collected by the MOOC platforms about the users and their interactions with the platforms. Many studies analyze the data to understand the online learning behavior of the students in order to improve the courses and services. In this paper, we propose the concept of learning rhythms. We divide the students into three groups corresponding to the level of engagement with the course. We capture the learning behavior on different learning units by observing the delay time and the study time of the students, and use them to infer the eagerness and intensity applied to studying the materials. We use the frequent tree mining technique to extract frequent patterns. The most frequently occurred subtrees are identified as typical learning rhythms. To evaluate our method, we analyze the data provided by XuetangX, an online learning platform in China, and study the learning rhythms using one of its most popular courses.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622993,MOOC;Frequent Tree Mining;Machine Learning;Data Analysis,Vegetation;Videos;Education;Delays;Data mining;Web pages;Conferences,computer aided instruction;data mining;educational courses;further education;trees (mathematics),frequently occurred subtrees;online learning platform;MOOC learning rhythms;MOOC platforms;online learning behavior;frequent tree mining technique;massive open online course;learning units;XuetangX platform,,,22,,,,,IEEE,IEEE Conferences,,,,,,
Enhanced Gender Identification through Social Media Analytics on the Cloud,P. Wang; M. Gao; R. O. Sinnott,"Dept. of Comput. & Inf. Syst., Univ. of Melbourne, Melbourne, VIC, Australia; Dept. of Comput. & Inf. Syst., Univ. of Melbourne, Melbourne, VIC, Australia; Dept. of Comput. & Inf. Syst., Univ. of Melbourne, Melbourne, VIC, Australia",2016 IEEE 18th International Conference on High Performance Computing and Communications; IEEE 14th International Conference on Smart City; IEEE 2nd International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2016,,,1426,1433,"Social networking platforms such as Twitter have become a global phenomenon. Net citizens use such services as part of their daily lives. Given this, the opportunities to mine such data resources is of considerable interest to researchers, businesses and government alike. Many researchers have explored the analysis of such resources to support sentiment analysis and event detection amongst many other scenarios. However the potential to more accurately gauge the sentiment based upon gender is increasingly desirable, e.g. for brand analysis. In this paper we present a Cloudbased solution that supports gender identification through a mixed solution combining name classification, image recognition and gender targeted analysis. This paper outlines the Cloud infrastructure and the use of the systems for a range of gender-oriented sentiment classification scenarios.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828544,Twitter;sentiment analysis;gender identification;machine learning;data visualisation,Twitter;Data visualization;Sentiment analysis;Cloud computing;Databases;Virtual machining,cloud computing;image classification;learning (artificial intelligence);sentiment analysis;social networking (online),enhanced gender identification;social media analytics;social networking platforms;Twitter;data resource mining;resource analysis;sentiment analysis;event detection;brand analysis;name classification;image recognition;gender targeted analysis;cloud infrastructure;gender-oriented sentiment classification scenarios,,,24,,,,,IEEE,IEEE Conferences,,,,,,
Next generation firewalls for dynamic coalitions,S. Arunkumar; S. Pipes; C. Makaya; E. Bertino; E. Karafili; E. Lupu; C. Williams,"IBM UK; IBM UK; IBM T.J. Watson Research Center, USA; Purdue University, USA; Imperial College, London, UK; Imperial College, London, UK; DSTL, UK","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2017,,,1,6,"Firewalls represent a critical security building block for networks as they monitor and control incoming and outgoing network traffic based on the enforcement of predetermined security rules, referred to as firewall rules. Firewalls are constantly being improved to enhance network security. From being a simple filtering device, firewall has been evolved to operate in conjunction in intrusion detection and prevention systems. This paper reviews the existing firewall policies and assesses their application in highly dynamic networks such as coalitions networks. The paper also describe the need for the next-generation firewall policies and how the generative policy model can be leveraged.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397413,Firewall;intrusion detection and prevention;generative policy;machine learning;coalitions networks,IP networks;Firewalls (computing);Intrusion detection;Next generation networking;Protocols;Monitoring,authorisation;firewalls;next generation networks;telecommunication traffic,dynamic coalitions;critical security building block;outgoing network traffic;firewall rules;network security;next-generation firewall policies;generative policy model;security rules;filtering device;intrusion detection system;intrusion prevention systems;next-generation firewalls;incoming network traffic,,,23,,,,,IEEE,IEEE Conferences,,,,,,
Failure Order: A Missing Piece in Disk Failure Processing of Data Centers,Y. Yi; J. Xiao; S. Wu; H. Li; H. Jin,Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology,2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2019,,,223,230,"To avoid data loss, data centers adopt disk failure prediction (DFP) technology to raise warnings ahead of actual disk failures, and process the warnings in the order they are raised, i.e., a first-in-first-out (FIFO) warning order. The FIFO-guided warning order can process warnings timely when disk failures are rare in data centers. With the growing scale of data centers, the increasing number of disk failures leads to a complex situation that multiple warnings are raised simultaneously, where the FIFO-guided warning order neither processes warnings timely, nor manages warnings properly due to lack of the priority of warnings. Thus, a real-time and finer-grained priority guidance for warning order management is an urgent need. To this end, we turn our attention to the failures since each warning corresponds to a fail event. The key insight is that the interdependence of failures, i.e., the order failure occurred, indicates the order of warning processing. With an accurate failure order, data centers can decrease the probability of data loss and the downtime of latency-sensitive applications by processing urgent warnings in advance. In this paper, we predict the failure order with a LambdaMART model, which is a state-of-the-art ranking algorithm in information retrieval. To avoid overly concerning on the correctness of high-rank warnings in information retrieval, we design a symmetric metric to evaluate the prediction evaluation of failure order. Experiment on a public dataset, provided by the Backblaze company, shows that our model outperforms the FIFO order and the order from previous DFP models.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855417,"Disk Failure Prediction, SMART, Learning to Rank, LambdaMART",Data centers;Predictive models;Machine learning algorithms;Measurement;Information retrieval;Prediction algorithms;Conferences,computer centres;data handling;failure analysis;information retrieval,order failure;warning processing;data centers;data loss;FIFO order;disk failure processing;disk failure prediction;FIFO-guided warning order;warning order management;LambdaMART model;ranking algorithm;information retrieval,,,25,,,,,IEEE,IEEE Conferences,,,,,,
A QoE-Based Governor for Web Browsing on Heterogeneous Mobile Systems,J. Ren,"Dept..Comput. Sci., Shaanxi Normal Univ., Xi'an, China","2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2018,,,650,655,"Mobile browsers are one of the most popular applications on mobile devices. However, as the requirements for low latency and the increasingly complex websites, the modern browsers become energy hungry to satisfy the user experiences. Previous studies have shown that the webpage rendering contributes the most to the overall overhead. In this paper, we propose a predictive model to schedule the rendering work to achieve the purpose of maximizing the user quality-of-experience (QoE). Both of the users' delay-tolerance and energy consumption are considered in our QoE evaluation. To this end, we characterize the webpage workload and leverage a machine learning technique to find the correlation between the webpage workload and the QoE. Finally, we build a governor to predict which processor configuration can be used to execute the web rendering engine at runtime, and then schedule the rendering process based on the predicted results. Our approach are useful for not only web browsers but also a large number of mobile apps which are underpinned by web rendering techniques.We evaluate the performance of our approach on a representative mobile heterogeneous platform by using the hottest 1000 webpages, the results show high prediction accuracy for the predicted model of 85.3%. Overall, our approach delivers an average of 47.3% higher QoE than the mobile system default governor, Interactive, with an average energy reduction of 38.5% and 1.12x performance speedup.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560108,"mobile web browsing, optimize user experience, heterogeneous mobile system",,energy consumption;learning (artificial intelligence);mobile computing;online front-ends;power aware computing;quality of experience;Web sites,average energy reduction;QoE-based governor;heterogeneous mobile systems;mobile browsers;mobile devices;webpage rendering;user quality-of-experience;QoE evaluation;webpage workload;machine learning technique;processor configuration;mobile apps;mobile system default governor;Web browsing;Websites;Web browsers;mobile heterogeneous platform;Web rendering engine,,,29,,,,,IEEE,IEEE Conferences,,,,,,
Vote Parallel SVM: An Extension of Parallel Support Vector Machine,Y. Song; Q. Jin; K. Yan; H. Lu; J. Pan,"Coll. of Inf. Eng., China Jiliang Univ., Hangzhou, China; Coll. of Inf. Eng., China Jiliang Univ., Hangzhou, China; Coll. of Inf. Eng., China Jiliang Univ., Hangzhou, China; Coll. of Inf. Eng., China Jiliang Univ., Hangzhou, China; Coll. of Inf. Eng., China Jiliang Univ., Hangzhou, China","2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2018,,,1942,1947,"Support Vector Machine (SVM) is a set of machine learning algorithms, which has been widely used in diverse domains. With the increasing size of datasets, the traditional SVM training algorithms for large-scale datasets become infeasible. Mathematical optimization and cascade parallelism are both popular strategies for accelerating SVM training. In these parallel methods, the use of appropriate parallel framework to reduce SVM training time has become a priority issue and a research focus. In this paper, we investigate and overview mathematical optimization algorithms and parallel technologies of SVM, and summarize parallel SVM solutions and application problems under different frameworks. We propose a Vote Parallel SVM to reduce the training time. Finally, we show experimental results comparing with baseline methods.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560303,"parallel SVM, parallel prameworks, Cascade SVM, Vote Parallel SVM",,learning (artificial intelligence);mathematical programming;support vector machines,parallel support vector machine;machine learning algorithms;cascade parallelism;parallel methods;SVM training time;mathematical optimization algorithms;parallel technologies;parallel framework;SVM training algorithms;vote parallel SVM,,,24,,,,,IEEE,IEEE Conferences,,,,,,
Verified Programs for Frequent Itemset Mining,F. Loulergue; C. Whitney,"Sch. of Inf. Comput. & Cyber Syst., Northern Arizona Univ., Flagstaff, AZ, USA; Sch. of Inf. Comput. & Cyber Syst., Northern Arizona Univ., Flagstaff, AZ, USA","2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2018,,,1516,1523,"Frequent itemset mining is one pillar of machine learning and is very important for many data mining applications. There are many different algorithms for frequent itemset mining, but to our knowledge no implementation has been proven correct using computer aided verification. Hu et al. derived on paper an efficient algorithm for this problem, starting from an inefficient functional program and by using program calculation derived an efficient version. Based on their work, we propose a formally verified functional implementation for frequent itemset mining developed with the Coq proof assistant. All the proposed programs are evaluated on classical datasets and are compared to a non verified Java implementation of the Apriori algorithm.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560240,Formal verification;Coq proof assistant;data mining;frequent itemset mining;functional programming;parallel programming,,data mining;learning (artificial intelligence);program verification;theorem proving,frequent itemset mining;data mining;verified programs;machine learning;computer aided verification;program calculation;Coq proof assistant,,,25,,,,,IEEE,IEEE Conferences,,,,,,
A position-independent method for soil types recognition using inertial data from a wearable device,F. Thullier; V. Plantevin; A. Bouzouane; S. Halle; S. Gaboury,"LIARA Laboratory, Department of Computer Science and Mathematics, Université du Québec à Chicoutimi, Chicoutimi, Québec, Canada; LIARA Laboratory, Department of Computer Science and Mathematics, Université du Québec à Chicoutimi, Chicoutimi, Québec, Canada; LIARA Laboratory, Department of Computer Science and Mathematics, Université du Québec à Chicoutimi, Chicoutimi, Québec, Canada; LIF Laboratory, Department of Computer Science and Mathematics, Université du Québec à Chicoutimi, Chicoutimi, Québec, Canada; LIARA Laboratory, Department of Computer Science and Mathematics, Université du Québec à Chicoutimi, Chicoutimi, Québec, Canada","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2017,,,1,10,"This paper describes a novel method for recognizing different soil types based on inertial data generated by a user's gait. To achieve this objective, a new wearable device which aims at collecting data produced by an embedded 6-axis accelerometer/gyroscope was designed first. To command this piece of hardware (start and stop recording, as well as annotate raw data), a mobile application was specifically developed. A total of 70 well-known features both from time and frequency domains that are mostly used in activity recognition were computed over each signal to produce enough discriminating characteristics. Then, two machine learning algorithms (Random Forest and k-Nearest Neighbors) were employed to classify such data. The proposed method was tested with 9 participants on four soil types with an experimental setup close to real use case situations. Results obtained let us state that a soil-types recognition is not only possible but also accurate and reliable since overall median F-Score measures of 82% and 86% were obtained respectively with the Random Forest and the k-NN classifiers. Although the user independence of our system was not proven due to a limited number of involved users, the independence condition of the position of the wearable device was clearly demonstrated.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397511,Soil Types;Recognition;Wearable Object;IMU;Position-Independent,Forestry;Soil;Vegetation;Biomedical monitoring;Sensors;Robots;Support vector machines,accelerometers;geophysical signal processing;gyroscopes;learning (artificial intelligence);nearest neighbour methods;random processes;time-frequency analysis,wearable device;position-independent method;inertial data;machine learning algorithms;random forest;soil type recognition;embedded 6-axis accelerometer-gyroscope;time domain analysis;frequency domain analysis;k-NN classifiers;k-nearest neighbor classifiers,,1,29,,,,,IEEE,IEEE Conferences,,,,,,
